Quarter,"National
Unemployment Rate SA (%)","Dublin
Unemployed SA (000)","Dublin
Unemployment Rate SA (%)","Dublin
Employed SA (000)","QoQ
Dublin Employed","YoY
Dublin Employed","%YoY
Dublin Unemployed "
Q1 98,9.00%,43.39,8.10%,496.6,,,
Q2 98,8.00%,39.49,7.23%,499.4,,,
Q3 98,7.40%,37.42,7.01%,507.82,,,
Q4 98,6.80%,32.26,5.87%,510.48,,,
Q1 99,6.40%,30.24,5.54%,521.37,,,-2.56%
Q2 99,6.10%,27.88,4.98%,529.86,,,-2.25%
Q3 99,5.60%,24.36,4.52%,534.79,4.92,26.97,-2.48%
Q4 99,5.40%,24.09,4.20%,538.92,4.14,28.45,-1.66%
Q1 00,4.90%,22.1,3.91%,543.57,4.65,22.2,-1.64%
Q2 00,4.70%,20.96,3.54%,551.3,7.73,21.44,-1.44%
Q3 00,4.40%,19.93,3.41%,560.3,8.99,25.51,-1.12%
Q4 00,4.00%,16.68,2.95%,561.75,1.46,22.83,-1.25%
Q1 01,4.00%,16.17,3.04%,563.07,1.31,19.49,-0.87%
Q2 01,4.00%,18.85,3.10%,563.48,0.41,12.17,-0.44%
Q3 01,4.40%,20.24,3.39%,566.88,3.4,6.59,-0.01%
Q4 01,4.40%,20.66,3.46%,566.48,-0.41,4.72,0.51%
Q1 02,4.50%,22.17,3.84%,565.02,-1.46,1.95,0.81%
Q2 02,4.60%,24.02,4.10%,563,-2.01,-0.48,1.00%
Q3 02,4.50%,24.85,4.26%,561.85,-1.15,-5.03,0.87%
Q4 02,5.30%,27.9,4.45%,562.16,0.31,-4.32,0.99%
Q1 03,4.80%,26.26,4.50%,563.25,1.1,-1.76,0.65%
Q2 03,4.80%,24.08,4.26%,567.86,4.6,4.85,0.16%
Q3 03,5.00%,27.23,4.79%,563.02,-4.83,1.17,0.53%
Q4 03,4.80%,26.58,4.24%,566.95,3.92,4.79,-0.22%
Q1 04,5.10%,29.94,4.92%,566.18,-0.76,2.93,0.42%
Q2 04,4.70%,25.53,4.27%,567.79,1.61,-0.07,0.02%
Q3 04,4.50%,25.72,4.53%,573.87,6.08,10.85,-0.26%
Q4 04,4.70%,26.12,4.33%,580.02,6.15,13.07,0.09%
Q1 05,4.40%,26.5,4.39%,583.87,3.85,17.68,-0.52%
Q2 05,4.90%,30.28,4.71%,593.78,9.92,25.99,0.43%
Q3 05,4.70%,29.33,4.70%,599.08,5.3,25.21,0.17%
Q4 05,4.60%,30.28,4.76%,604.45,5.37,24.43,0.43%
Q1 06,4.70%,31.5,4.86%,614.15,9.7,30.29,0.46%
Q2 06,4.70%,32.12,4.83%,613.28,-0.88,19.5,0.12%
Q3 06,5.00%,30.64,4.84%,624.05,10.77,24.97,0.14%
Q4 06,4.70%,31.35,4.77%,635.92,11.88,31.47,0.01%
Q1 07,4.90%,31.93,4.79%,645.27,9.35,31.12,-0.07%
Q2 07,5.00%,34.61,4.93%,646.16,0.89,32.88,0.10%
Q3 07,4.90%,32.77,4.88%,652.04,5.88,27.99,0.04%
Q4 07,5.20%,33.54,4.84%,652.49,0.45,16.57,0.07%
Q1 08,5.40%,35.31,5.29%,652.62,0.13,7.35,0.50%
Q2 08,5.90%,35.89,5.33%,652.75,0.13,6.59,0.40%
Q3 08,7.40%,46.06,6.82%,645.58,-7.16,-6.45,1.94%
Q4 08,8.60%,50.61,7.35%,625.46,-20.13,-27.03,2.51%
Q1 09,10.90%,62.32,9.26%,610.76,-14.7,-41.86,3.97%
Q2 09,12.60%,71.19,10.30%,596.8,-13.96,-55.95,4.97%
Q3 09,13.30%,72.87,11.17%,580.59,-16.21,-64.99,4.35%
Q4 09,13.80%,76.85,11.52%,579.24,-1.35,-46.22,4.16%
Q1 10,13.80%,74.12,11.61%,573.95,-5.29,-36.81,2.35%
