Quarter,Dublin Employment ('000) - Construction (F),"Dublin Employment ('000) - Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin Employment ('000) - Transportation and storage (H),Dublin Employment ('000) - Accommodation and food service activities (I),Dublin Employment ('000) - Information and communication (J),"Dublin Employment ('000) - Professional, scientific and technical activities (M)",Dublin Employment ('000) - Administrative and support service activities (N),"Dublin Employment ('000) - Public administration and defence, compulsory social security (O)",Dublin Employment ('000) - Education (P),Dublin Employment ('000) - Human health and social work activities (Q),Dublin Employment ('000) - Industry (B to E),Dublin Employment ('000) - Industry and Construction (B to F),Dublin Employment ('000) - Services (G to U),"Dublin Employment ('000) - Financial, insurance and real estate activities (K,L)",Dublin Employment ('000) - Other NACE activities (R to U),Private Sector
Q1 98,24,73.7,29,31.8,36.48482737,35.2,23.58944511,28.3,29.78772875,40.54313759,74.50967551,98.54198768,390.1880875,35.4,26.9,390.6
Q2 98,24.3,73.9,29.6,31.3,37.31801277,36,23.37809713,27,30.35727564,40.55863318,74.97250212,99.39880764,392.0185779,35.7,25.7,392.2
Q3 98,25,75.6,31,33.5,38.91993947,36.3,24.10773211,26.9,30.30182988,40.84693175,76.97796149,102.1036186,399.0608531,37.9,27.3,406.6
Q4 98,26.2,72,32.2,30.8,39.58869329,37.5,23.63533122,26.9,30.84759754,40.69572816,76.00443552,102.0456809,401.5615694,38.3,26.6,402.8
Q1 99,27.1,73.1,33.6,33.5,42.23627675,37.7,23.71320609,28.4,31.40546784,40.65181505,76.44877311,103.3296502,410.5412643,38.7,27.3,413.4
Q2 99,27.5,76.1,33.5,34,42.90581565,40.5,23.52486057,28.3,30.84731794,42.07422982,76.07502717,103.5664399,418.3406879,39.7,25.9,419.7
Q3 99,28,77.8,34.8,35.7,44.77400568,39.6,23.54926062,27.7,30.55933998,43.10811468,76.01355059,104.1409177,422.4508622,41.8,27,429
Q4 99,28.8,77.6,33.6,33.1,44.70276247,40.3,24.19673579,28.1,30.42720624,44.3494056,75.64824283,104.5468404,427.2328018,40.9,27.5,426.4
Q1 00,30,79.1,33.2,33.8,44.24274133,41,25.27066606,27.3,30.92240319,46.05398809,76.67206311,106.835542,430.0038224,40.6,27.7,431.6
Q2 00,30.9,82.7,32.6,35,43.98751931,40,25.5082764,26.8,31.56090279,46.72061456,76.06452874,107.0200367,435.1110898,42.6,26.2,435.6
Q3 00,32.7,83.4,34.5,35.5,44.39641583,40.6,26.41828513,29.1,32.32859635,48.22355543,78.05976568,110.476919,441.5443194,43.6,27.2,446.4
Q4 00,33,82.5,34.6,35.2,42.97732315,41.6,26.80634819,28.4,32.82889563,47.79906239,76.37197098,109.1651034,443.9949551,44,26.2,443.2
Q1 01,33.5,83.4,34.9,34.5,43.77926844,42.4,27.04947876,28.2,33.09408432,46.33868956,77.30273532,110.8441665,445.9609416,44.5,27.2,448.5
Q2 01,33.4,83.6,35.8,35.1,43.42924503,43.3,27.41062886,28.3,33.37765809,46.71590126,74.69642159,108.248611,449.1028504,43.7,27.1,447.5
